Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13, C14, C16, C19, C20, C21, C24",0603,8,100nF,C1591
C11,0603,1,4.7uF,C1705
"C12, C2",0603,2,1uF,C15849
"C15, C17, C5, C6",0603,4,12pF,C107034
"C18, C23",0603,2,10uF,C19702
C3,0603,1,820pF,C107057
C7,0603,1,0.5pF,C5137584
C8,0603,1,100pF,C14858
C9,0603,1,0.8pF,C519369
"D1, D2",0603,2,LED,C5875723
F1,0805,1,350mA,C3761461
"J2, J3",MYOUNG MY-AAA-07,2,Conn_01x01_Pin,C6937109
L1,0603,1,4.7nH,C1030
L2,1008,1,4.7uH,C280597
"R1, R7",0603,2,0R,C116699
"R2, R8",0603,2,330R,C105881
R4,0603,1,402R,C227889
"R5, R6",0603,2,10K,C98220
SW1,SW_SPST_B3U-1000P-B,1,SW_Push,C231329
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,C190794
U2,Texas_PWSON-N6,1,HDC2080,C918141
U3,SOT-23,1,SM351LT,C80830
U4,WSON-6_1.5x1.5mm_P0.5mm,1,TPS610981,C470966
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,32MHz,C5552502
Y2,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,1,32.768kHz,C32346
